obs_id,train_id,cty,displ,cyl,drv,hwy,class,manufacturer,year
id_000001,train,18,1.8,4,f,29,compact,audi,1999
id_000002,train,21,1.8,4,f,29,compact,audi,1999
id_000003,train,20,2,4,f,31,compact,audi,2008
id_000004,test,21,2,4,f,30,compact,audi,2008
id_000005,train,16,2.8,6,f,26,compact,audi,1999
id_000006,test,18,2.8,6,f,26,compact,audi,1999
id_000007,test,18,3.1,6,f,27,compact,audi,2008
id_000008,valid,18,1.8,4,4,26,compact,audi,1999
id_000009,valid,16,1.8,4,4,25,compact,audi,1999
id_000010,train,20,2,4,4,28,compact,audi,2008
id_000011,test,19,2,4,4,27,compact,audi,2008
id_000012,train,15,2.8,6,4,25,compact,audi,1999
id_000013,valid,17,2.8,6,4,25,compact,audi,1999
id_000014,train,17,3.1,6,4,25,compact,audi,2008
id_000015,valid,15,3.1,6,4,25,compact,audi,2008
id_000016,train,15,2.8,6,4,24,midsize,audi,1999
id_000017,valid,17,3.1,6,4,25,midsize,audi,2008
id_000018,test,16,4.2,8,4,23,midsize,audi,2008
id_000019,train,14,5.3,8,r,20,suv,chevrolet,2008
id_000020,valid,11,5.3,8,r,15,suv,chevrolet,2008
id_000021,test,14,5.3,8,r,20,suv,chevrolet,2008
id_000022,train,13,5.7,8,r,17,suv,chevrolet,1999
id_000023,train,12,6,8,r,17,suv,chevrolet,2008
id_000024,train,16,5.7,8,r,26,2seater,chevrolet,1999
id_000025,train,15,5.7,8,r,23,2seater,chevrolet,1999
id_000026,train,16,6.2,8,r,26,2seater,chevrolet,2008
id_000027,train,15,6.2,8,r,25,2seater,chevrolet,2008
id_000028,train,15,7,8,r,24,2seater,chevrolet,2008
id_000029,valid,14,5.3,8,4,19,suv,chevrolet,2008
id_000030,train,11,5.3,8,4,14,suv,chevrolet,2008
id_000031,train,11,5.7,8,4,15,suv,chevrolet,1999
id_000032,train,14,6.5,8,4,17,suv,chevrolet,1999
id_000033,train,19,2.4,4,f,27,midsize,chevrolet,1999
id_000034,train,22,2.4,4,f,30,midsize,chevrolet,2008
id_000035,valid,18,3.1,6,f,26,midsize,chevrolet,1999
id_000036,train,18,3.5,6,f,29,midsize,chevrolet,2008
id_000037,valid,17,3.6,6,f,26,midsize,chevrolet,2008
id_000038,train,18,2.4,4,f,24,minivan,dodge,1999
id_000039,valid,17,3,6,f,24,minivan,dodge,1999
id_000040,test,16,3.3,6,f,22,minivan,dodge,1999
id_000041,valid,16,3.3,6,f,22,minivan,dodge,1999
id_000042,train,17,3.3,6,f,24,minivan,dodge,2008
id_000043,test,17,3.3,6,f,24,minivan,dodge,2008
id_000044,train,11,3.3,6,f,17,minivan,dodge,2008
id_000045,train,15,3.8,6,f,22,minivan,dodge,1999
id_000046,valid,15,3.8,6,f,21,minivan,dodge,1999
id_000047,train,16,3.8,6,f,23,minivan,dodge,2008
id_000048,train,16,4,6,f,23,minivan,dodge,2008
id_000049,train,15,3.7,6,4,19,pickup,dodge,2008
id_000050,train,14,3.7,6,4,18,pickup,dodge,2008
id_000051,train,13,3.9,6,4,17,pickup,dodge,1999
id_000052,test,14,3.9,6,4,17,pickup,dodge,1999
id_000053,test,14,4.7,8,4,19,pickup,dodge,2008
id_000054,train,14,4.7,8,4,19,pickup,dodge,2008
id_000055,train,9,4.7,8,4,12,pickup,dodge,2008
id_000056,train,11,5.2,8,4,17,pickup,dodge,1999
id_000057,test,11,5.2,8,4,15,pickup,dodge,1999
id_000058,train,13,3.9,6,4,17,suv,dodge,1999
id_000059,train,13,4.7,8,4,17,suv,dodge,2008
id_000060,train,9,4.7,8,4,12,suv,dodge,2008
id_000061,valid,13,4.7,8,4,17,suv,dodge,2008
id_000062,train,11,5.2,8,4,16,suv,dodge,1999
id_000063,train,13,5.7,8,4,18,suv,dodge,2008
id_000064,valid,11,5.9,8,4,15,suv,dodge,1999
id_000065,train,12,4.7,8,4,16,pickup,dodge,2008
id_000066,train,9,4.7,8,4,12,pickup,dodge,2008
id_000067,test,13,4.7,8,4,17,pickup,dodge,2008
id_000068,train,13,4.7,8,4,17,pickup,dodge,2008
id_000069,test,12,4.7,8,4,16,pickup,dodge,2008
id_000070,valid,9,4.7,8,4,12,pickup,dodge,2008
id_000071,train,11,5.2,8,4,15,pickup,dodge,1999
id_000072,valid,11,5.2,8,4,16,pickup,dodge,1999
id_000073,valid,13,5.7,8,4,17,pickup,dodge,2008
id_000074,train,11,5.9,8,4,15,pickup,dodge,1999
id_000075,train,11,4.6,8,r,17,suv,ford,1999
id_000076,test,11,5.4,8,r,17,suv,ford,1999
id_000077,valid,12,5.4,8,r,18,suv,ford,2008
id_000078,train,14,4,6,4,17,suv,ford,1999
id_000079,test,15,4,6,4,19,suv,ford,1999
id_000080,valid,14,4,6,4,17,suv,ford,1999
id_000081,train,13,4,6,4,19,suv,ford,2008
id_000082,train,13,4.6,8,4,19,suv,ford,2008
id_000083,train,13,5,8,4,17,suv,ford,1999
id_000084,train,14,4.2,6,4,17,pickup,ford,1999
id_000085,train,14,4.2,6,4,17,pickup,ford,1999
id_000086,train,13,4.6,8,4,16,pickup,ford,1999
id_000087,test,13,4.6,8,4,16,pickup,ford,1999
id_000088,valid,13,4.6,8,4,17,pickup,ford,2008
id_000089,train,11,5.4,8,4,15,pickup,ford,1999
id_000090,train,13,5.4,8,4,17,pickup,ford,2008
id_000091,train,18,3.8,6,r,26,subcompact,ford,1999
id_000092,train,18,3.8,6,r,25,subcompact,ford,1999
id_000093,valid,17,4,6,r,26,subcompact,ford,2008
id_000094,train,16,4,6,r,24,subcompact,ford,2008
id_000095,test,15,4.6,8,r,21,subcompact,ford,1999
id_000096,test,15,4.6,8,r,22,subcompact,ford,1999
id_000097,test,15,4.6,8,r,23,subcompact,ford,2008
id_000098,valid,15,4.6,8,r,22,subcompact,ford,2008
id_000099,test,14,5.4,8,r,20,subcompact,ford,2008
id_000100,train,28,1.6,4,f,33,subcompact,honda,1999
id_000101,valid,24,1.6,4,f,32,subcompact,honda,1999
id_000102,test,25,1.6,4,f,32,subcompact,honda,1999
id_000103,valid,23,1.6,4,f,29,subcompact,honda,1999
id_000104,train,24,1.6,4,f,32,subcompact,honda,1999
id_000105,test,26,1.8,4,f,34,subcompact,honda,2008
id_000106,train,25,1.8,4,f,36,subcompact,honda,2008
id_000107,train,24,1.8,4,f,36,subcompact,honda,2008
id_000108,valid,21,2,4,f,29,subcompact,honda,2008
id_000109,valid,18,2.4,4,f,26,midsize,hyundai,1999
id_000110,train,18,2.4,4,f,27,midsize,hyundai,1999
id_000111,valid,21,2.4,4,f,30,midsize,hyundai,2008
id_000112,train,21,2.4,4,f,31,midsize,hyundai,2008
id_000113,valid,18,2.5,6,f,26,midsize,hyundai,1999
id_000114,train,18,2.5,6,f,26,midsize,hyundai,1999
id_000115,valid,19,3.3,6,f,28,midsize,hyundai,2008
id_000116,train,19,2,4,f,26,subcompact,hyundai,1999
id_000117,test,19,2,4,f,29,subcompact,hyundai,1999
id_000118,test,20,2,4,f,28,subcompact,hyundai,2008
id_000119,train,20,2,4,f,27,subcompact,hyundai,2008
id_000120,train,17,2.7,6,f,24,subcompact,hyundai,2008
id_000121,test,16,2.7,6,f,24,subcompact,hyundai,2008
id_000122,valid,17,2.7,6,f,24,subcompact,hyundai,2008
id_000123,train,17,3,6,4,22,suv,jeep,2008
id_000124,train,15,3.7,6,4,19,suv,jeep,2008
id_000125,train,15,4,6,4,20,suv,jeep,1999
id_000126,test,14,4.7,8,4,17,suv,jeep,1999
id_000127,valid,9,4.7,8,4,12,suv,jeep,2008
id_000128,train,14,4.7,8,4,19,suv,jeep,2008
id_000129,train,13,5.7,8,4,18,suv,jeep,2008
id_000130,train,11,6.1,8,4,14,suv,jeep,2008
id_000131,train,11,4,8,4,15,suv,land rover,1999
id_000132,train,12,4.2,8,4,18,suv,land rover,2008
id_000133,train,12,4.4,8,4,18,suv,land rover,2008
id_000134,train,11,4.6,8,4,15,suv,land rover,1999
id_000135,train,11,5.4,8,r,17,suv,lincoln,1999
id_000136,train,11,5.4,8,r,16,suv,lincoln,1999
id_000137,train,12,5.4,8,r,18,suv,lincoln,2008
id_000138,train,14,4,6,4,17,suv,mercury,1999
id_000139,train,13,4,6,4,19,suv,mercury,2008
id_000140,train,13,4.6,8,4,19,suv,mercury,2008
id_000141,test,13,5,8,4,17,suv,mercury,1999
id_000142,train,21,2.4,4,f,29,compact,nissan,1999
id_000143,test,19,2.4,4,f,27,compact,nissan,1999
id_000144,train,23,2.5,4,f,31,midsize,nissan,2008
id_000145,train,23,2.5,4,f,32,midsize,nissan,2008
id_000146,train,19,3.5,6,f,27,midsize,nissan,2008
id_000147,train,19,3.5,6,f,26,midsize,nissan,2008
id_000148,train,18,3,6,f,26,midsize,nissan,1999
id_000149,train,19,3,6,f,25,midsize,nissan,1999
id_000150,train,19,3.5,6,f,25,midsize,nissan,2008
id_000151,train,14,3.3,6,4,17,suv,nissan,1999
id_000152,test,15,3.3,6,4,17,suv,nissan,1999
id_000153,test,14,4,6,4,20,suv,nissan,2008
id_000154,train,12,5.6,8,4,18,suv,nissan,2008
id_000155,train,18,3.1,6,f,26,midsize,pontiac,1999
id_000156,train,16,3.8,6,f,26,midsize,pontiac,1999
id_000157,train,17,3.8,6,f,27,midsize,pontiac,1999
id_000158,train,18,3.8,6,f,28,midsize,pontiac,2008
id_000159,valid,16,5.3,8,f,25,midsize,pontiac,2008
id_000160,test,18,2.5,4,4,25,suv,subaru,1999
id_000161,train,18,2.5,4,4,24,suv,subaru,1999
id_000162,valid,20,2.5,4,4,27,suv,subaru,2008
id_000163,train,19,2.5,4,4,25,suv,subaru,2008
id_000164,test,20,2.5,4,4,26,suv,subaru,2008
id_000165,test,18,2.5,4,4,23,suv,subaru,2008
id_000166,train,21,2.2,4,4,26,subcompact,subaru,1999
id_000167,test,19,2.2,4,4,26,subcompact,subaru,1999
id_000168,train,19,2.5,4,4,26,subcompact,subaru,1999
id_000169,train,19,2.5,4,4,26,subcompact,subaru,1999
id_000170,train,20,2.5,4,4,25,compact,subaru,2008
id_000171,valid,20,2.5,4,4,27,compact,subaru,2008
id_000172,train,19,2.5,4,4,25,compact,subaru,2008
id_000173,valid,20,2.5,4,4,27,compact,subaru,2008
id_000174,train,15,2.7,4,4,20,suv,toyota,1999
id_000175,valid,16,2.7,4,4,20,suv,toyota,1999
id_000176,train,15,3.4,6,4,19,suv,toyota,1999
id_000177,test,15,3.4,6,4,17,suv,toyota,1999
id_000178,train,16,4,6,4,20,suv,toyota,2008
id_000179,train,14,4.7,8,4,17,suv,toyota,2008
id_000180,test,21,2.2,4,f,29,midsize,toyota,1999
id_000181,test,21,2.2,4,f,27,midsize,toyota,1999
id_000182,train,21,2.4,4,f,31,midsize,toyota,2008
id_000183,train,21,2.4,4,f,31,midsize,toyota,2008
id_000184,train,18,3,6,f,26,midsize,toyota,1999
id_000185,valid,18,3,6,f,26,midsize,toyota,1999
id_000186,train,19,3.5,6,f,28,midsize,toyota,2008
id_000187,test,21,2.2,4,f,27,compact,toyota,1999
id_000188,valid,21,2.2,4,f,29,compact,toyota,1999
id_000189,train,21,2.4,4,f,31,compact,toyota,2008
id_000190,valid,22,2.4,4,f,31,compact,toyota,2008
id_000191,train,18,3,6,f,26,compact,toyota,1999
id_000192,valid,18,3,6,f,26,compact,toyota,1999
id_000193,train,18,3.3,6,f,27,compact,toyota,2008
id_000194,train,24,1.8,4,f,30,compact,toyota,1999
id_000195,train,24,1.8,4,f,33,compact,toyota,1999
id_000196,train,26,1.8,4,f,35,compact,toyota,1999
id_000197,train,28,1.8,4,f,37,compact,toyota,2008
id_000198,test,26,1.8,4,f,35,compact,toyota,2008
id_000199,test,11,4.7,8,4,15,suv,toyota,1999
id_000200,valid,13,5.7,8,4,18,suv,toyota,2008
id_000201,train,15,2.7,4,4,20,pickup,toyota,1999
id_000202,train,16,2.7,4,4,20,pickup,toyota,1999
id_000203,train,17,2.7,4,4,22,pickup,toyota,2008
id_000204,test,15,3.4,6,4,17,pickup,toyota,1999
id_000205,test,15,3.4,6,4,19,pickup,toyota,1999
id_000206,test,15,4,6,4,18,pickup,toyota,2008
id_000207,train,16,4,6,4,20,pickup,toyota,2008
id_000208,train,21,2,4,f,29,compact,volkswagen,1999
id_000209,train,19,2,4,f,26,compact,volkswagen,1999
id_000210,train,21,2,4,f,29,compact,volkswagen,2008
id_000211,train,22,2,4,f,29,compact,volkswagen,2008
id_000212,test,17,2.8,6,f,24,compact,volkswagen,1999
id_000213,train,33,1.9,4,f,44,compact,volkswagen,1999
id_000214,train,21,2,4,f,29,compact,volkswagen,1999
id_000215,test,19,2,4,f,26,compact,volkswagen,1999
id_000216,train,22,2,4,f,29,compact,volkswagen,2008
id_000217,train,21,2,4,f,29,compact,volkswagen,2008
id_000218,valid,21,2.5,5,f,29,compact,volkswagen,2008
id_000219,train,21,2.5,5,f,29,compact,volkswagen,2008
id_000220,train,16,2.8,6,f,23,compact,volkswagen,1999
id_000221,train,17,2.8,6,f,24,compact,volkswagen,1999
id_000222,test,35,1.9,4,f,44,subcompact,volkswagen,1999
id_000223,test,29,1.9,4,f,41,subcompact,volkswagen,1999
id_000224,valid,21,2,4,f,29,subcompact,volkswagen,1999
id_000225,train,19,2,4,f,26,subcompact,volkswagen,1999
id_000226,train,20,2.5,5,f,28,subcompact,volkswagen,2008
id_000227,train,20,2.5,5,f,29,subcompact,volkswagen,2008
id_000228,train,21,1.8,4,f,29,midsize,volkswagen,1999
id_000229,valid,18,1.8,4,f,29,midsize,volkswagen,1999
id_000230,valid,19,2,4,f,28,midsize,volkswagen,2008
id_000231,train,21,2,4,f,29,midsize,volkswagen,2008
id_000232,valid,16,2.8,6,f,26,midsize,volkswagen,1999
id_000233,train,18,2.8,6,f,26,midsize,volkswagen,1999
id_000234,valid,17,3.6,6,f,26,midsize,volkswagen,2008
